time,lat,lat,U,V
239634.0,20.0,120.00000762939452,-8.132778,-1.5150413999999999
239640.0,20.0,120.00000762939452,-7.2232389999999995,-0.11778164
239646.0,20.0,120.00000762939452,-7.134373700000001,-1.3400698
239652.0,20.0,120.00000762939452,-8.665624000000001,-0.5344968000000001
239658.0,20.0,120.00000762939452,-7.8365307,1.5214853000000002
239664.0,20.0,120.00000762939452,-7.2724733,3.3346176
239670.0,20.0,120.00000762939452,-4.697627,2.8258572
239676.0,20.0,120.00000762939452,-4.781039,1.7604628
239682.0,20.0,120.00000762939452,-1.9996547999999998,2.8580408
239688.0,20.0,120.00000762939452,-0.72864056,2.9809712999999998
239694.0,20.0,120.00000762939452,3.3680477,0.465351
239700.0,20.0,120.00000762939452,2.6292772,0.55396396
239706.0,20.0,120.00000762939452,1.6114788,-1.3548107
239712.0,20.0,120.00000762939452,0.28262812,-0.033568382
239718.0,20.0,120.00000762939452,1.1440563,-0.8165579000000001
239724.0,20.0,120.00000762939452,0.5884059,-1.7536201
239730.0,20.0,120.00000762939452,-0.6803796,-1.8592052
239736.0,20.0,120.00000762939452,-0.65838814,-0.69772243
239742.0,20.0,120.00000762939452,1.1501188,-0.17303329999999997
239748.0,20.0,120.00000762939452,-0.9792689,-3.4129943999999997
239754.0,20.0,120.00000762939452,-3.220335,-1.9748506999999997
239760.0,20.0,120.00000762939452,-3.2802238,-0.379902
239766.0,20.0,120.00000762939452,0.016821112,-1.2184218999999998
239772.0,20.0,120.00000762939452,-2.2774229999999998,-3.0898285
239778.0,20.0,120.00000762939452,-3.4360046000000004,-1.4703913
239784.0,20.0,120.00000762939452,-4.9532050000000005,0.13391697
239790.0,20.0,120.00000762939452,-3.2545805,-0.9183995
239796.0,20.0,120.00000762939452,-5.849314700000001,-1.3278646
239802.0,20.0,120.00000762939452,-5.9698353,-1.7753868000000002
239808.0,20.0,120.00000762939452,-7.895450599999999,0.065855026
239814.0,20.0,120.00000762939452,-9.330762,-2.1738539
239820.0,20.0,120.00000762939452,-10.22604,-2.233101
239826.0,20.0,120.00000762939452,-9.706866999999999,-2.4134998
